,TerritoryCodes,YearMonth,Year,InvoiceAmt
693,EU,201412,2014,7920.12
711,EU INV,201412,2014,2465.88
864,South East,201412,2014,19376.52
1086,Northern Ireland,201510,2015,81.38
1117,South East,201510,2015,56.5
1139,South West,201510,2015,6890.96
1078,North West,201510,2015,25096.38
1012,Midlands and East,201510,2015,30059.95
1021,Midlands and West,201510,2015,43116.72
988,London,201510,2015,545.9200000000001
1153,West Midlands (East),201510,2015,106.58
1127,South East/London,201510,2015,26270.87
1109,South Coast,201510,2015,36638.31
1097,Scotland,201510,2015,5982.7
926,Central/E.Anglia,201510,2015,9136.34
977,House Account,201510,2015,105028.98
1066,North East/Yorkshire,201510,2015,16363.8
1164,West Midlands (West),201510,2015,25.42
959,East Anglia,201510,2015,604.8
938,EU,201510,2015,29536.14
954,EU INV,201510,2015,6265.46
1054,North East,201510,2015,10040.37
966,East Midlands,201510,2015,1461.6
1042,North,201510,2015,93394.59
1033,Non EU,201510,2015,276034.92
1000,Midlands,201510,2015,1881.78
1055,North East,201511,2015,2055.0
967,East Midlands,201511,2015,13.5
943,EU - OTHER  EUROPE,201511,2015,4380.0
1165,West Midlands (West),201511,2015,322.95
978,House Account,201511,2015,114615.5
939,EU,201511,2015,25398.219999999998
955,EU INV,201511,2015,1609.25
989,London,201511,2015,6383.49
1022,Midlands and West,201511,2015,37856.93
1034,Non EU,201511,2015,226249.81
1043,North,201511,2015,75209.02
1013,Midlands and East,201511,2015,32328.74
1079,North West,201511,2015,56585.23
1140,South West,201511,2015,13693.78
1128,South East/London,201511,2015,14215.53
1098,Scotland,201511,2015,5454.8
927,Central/E.Anglia,201511,2015,20497.04
1110,South Coast,201511,2015,36297.78
1087,Northern Ireland,201511,2015,119.71
1154,West Midlands (East),201511,2015,217.18
1067,North East/Yorkshire,201511,2015,22869.11
1099,Scotland,201512,2015,4014.14
928,Central/E.Anglia,201512,2015,5242.099999999999
1111,South Coast,201512,2015,21585.75
1143,West Midlands,201512,2015,960.62
1141,South West,201512,2015,2471.12
1129,South East/London,201512,2015,19382.04
1155,West Midlands (East),201512,2015,158.49
1014,Midlands and East,201512,2015,23381.72
1044,North,201512,2015,39050.09
1035,Non EU,201512,2015,137666.36
1023,Midlands and West,201512,2015,27686.81
990,London,201512,2015,3984.7599999999998
1001,Midlands,201512,2015,12653.71
944,EU - OTHER  EUROPE,201512,2015,816.35
1080,North West,201512,2015,83547.76
1166,West Midlands (West),201512,2015,363.18
956,EU INV,201512,2015,1249.62
940,EU,201512,2015,7630.29
1068,North East/Yorkshire,201512,2015,6473.74
979,House Account,201512,2015,64976.52
1056,North East,201512,2015,4555.25
1188,EU,201610,2016,22585.12
1176,Central/E.Anglia,201610,2016,8229.11
1252,Midlands and East,201610,2016,29535.59
1346,Scotland,201610,2016,7912.47
1288,North,201610,2016,50375.45
1324,North West,201610,2016,24457.31
1276,Non EU,201610,2016,251600.23
1375,South East/London,201610,2016,80463.69
1415,West Midlands (West),201610,2016,46.48
1408,West Midlands (East),201610,2016,1727.48
1202,EU INV,201610,2016,598.13
1264,Midlands and West,201610,2016,33578.36
1222,House Account,201610,2016,66544.18
1387,South West,201610,2016,17410.01
1233,London,201610,2016,0.0
1417,none,201610,2016,43.58
1300,North East,201610,2016,423.69
1312,North East/Yorkshire,201610,2016,20562.32
1335,Northern Ireland,201610,2016,39.93
1360,South Coast,201610,2016,39658.36
1325,North West,201611,2016,51542.049999999996
1347,Scotland,201611,2016,3544.48
1313,North East/Yorkshire,201611,2016,23146.64
1289,North,201611,2016,34448.47
1376,South East/London,201611,2016,18495.38
1301,North East,201611,2016,2580.64
1361,South Coast,201611,2016,30336.36
1349,Services,201611,2016,552.5
1364,South East,201611,2016,113.96
1336,Northern Ireland,201611,2016,198.55
1253,Midlands and East,201611,2016,21590.62
1189,EU,201611,2016,25915.85
1223,House Account,201611,2016,61318.01
1177,Central/E.Anglia,201611,2016,5209.8
1397,West Midlands,201611,2016,3493.31
1211,East Midlands,201611,2016,2055.68
1388,South West,201611,2016,11801.35
1265,Midlands and West,201611,2016,26097.32
1393,UK Projects,201611,2016,167.19
1277,Non EU,201611,2016,210074.29
1234,London,201611,2016,859.62
1389,South West,201612,2016,7336.219999999999
1266,Midlands and West,201612,2016,1269.98
1242,Midlands,201612,2016,9576.44
1254,Midlands and East,201612,2016,997.22
1365,South East,201612,2016,23133.59
1398,West Midlands,201612,2016,21272.46
1278,Non EU,201612,2016,179064.51
1377,South East/London,201612,2016,10289.54
1290,North,201612,2016,921.95
1302,North East,201612,2016,9968.0
1314,North East/Yorkshire,201612,2016,7657.44
1348,Scotland,201612,2016,1765.59
1409,West Midlands (East),201612,2016,308.82
1224,House Account,201612,2016,72501.08
1416,West Midlands (West),201612,2016,2775.5099999999998
1212,East Midlands,201612,2016,9873.86
1326,North West,201612,2016,44450.58
1192,EU - OTHER  EUROPE,201612,2016,9157.0
1190,EU,201612,2016,25844.559999999998
1203,EU INV,201612,2016,2924.09
1178,Central/E.Anglia,201612,2016,4236.53
1362,South Coast,201612,2016,28303.61
1350,Services,201612,2016,12.639999999999999
1662,West Midlands (East),201710,2017,1247.99
1651,West Midlands,201710,2017,50723.37
1560,Northern Ireland,201710,2017,9009.140000000001
1572,Scotland,201710,2017,3190.22
1552,North West,201710,2017,33387.3
1583,Services,201710,2017,167.95
1528,North East,201710,2017,13887.61
1540,North East/Yorkshire,201710,2017,1960.54
1516,North,201710,2017,760.2
1505,Non EU,201710,2017,319848.52
1607,South East,201710,2017,14414.97
1439,EU,201710,2017,13462.83
1466,East Midlands,201710,2017,30908.59
1595,South Coast,201710,2017,39791.5
1478,House Account,201710,2017,43889.52
1487,London,201710,2017,16.8
1631,South West,201710,2017,7959.0
1619,South East/London,201710,2017,27324.47
1427,Central/E.Anglia,201710,2017,6515.46
1584,Services,201711,2017,95.03
1608,South East,201711,2017,18260.18
1620,South East/London,201711,2017,14697.31
1467,East Midlands,201711,2017,67266.28
1529,North East,201711,2017,19374.63
1488,London,201711,2017,362.59999999999997
1517,North,201711,2017,35.0
1506,Non EU,201711,2017,204205.31
1561,Northern Ireland,201711,2017,0.0
1553,North West,201711,2017,95140.02
1541,North East/Yorkshire,201711,2017,26627.510000000002
1663,West Midlands (East),201711,2017,166.24
1652,West Midlands,201711,2017,47154.96
1667,West Midlands (West),201711,2017,148.9
1639,Training,201711,2017,0.0
1428,Central/E.Anglia,201711,2017,8001.02
1632,South West,201711,2017,9573.119999999999
1440,EU,201711,2017,24572.11
1573,Scotland,201711,2017,11986.35
1596,South Coast,201711,2017,31174.18
1479,House Account,201711,2017,53412.73
1574,Scotland,201712,2017,4654.5599999999995
1641,UK Projects,201712,2017,6374.360000000001
1653,West Midlands,201712,2017,23972.99
1621,South East/London,201712,2017,12316.119999999999
1530,North East,201712,2017,12204.6
1542,North East/Yorkshire,201712,2017,3215.49
1562,Northern Ireland,201712,2017,371.7
1554,North West,201712,2017,35850.86
1489,London,201712,2017,8986.6
1507,Non EU,201712,2017,227574.02
1518,North,201712,2017,493.21999999999997
1585,Services,201712,2017,141.54
1480,House Account,201712,2017,30117.76
1597,South Coast,201712,2017,37873.9
1468,East Midlands,201712,2017,12826.06
1429,Central/E.Anglia,201712,2017,5914.1
1453,EU INV,201712,2017,2747.45
1441,EU,201712,2017,27619.14
1609,South East,201712,2017,8465.35
1633,South West,201712,2017,8935.62
1664,West Midlands (East),201712,2017,142.36
